,QC_08,lv1_08,Ground_temperature_08,Temperature_08,Temperature_08_H0,Relative_humidity_08,Sep,QC_20,lv1_20,Ground_temperature_20,Temperature_20,Temperature_20_H0,Relative_humidity_20
2009/01/01,0,0,,47,254.99678,42,/,0,0,,47,255.82341,42
2009/01/02,0,0,,47,253.63045,42,/,0,0,,47,253.82758,46
2009/01/03,0,0,,47,250.78346,41,/,0,0,,47,252.92865,47
2009/01/04,0,0,,47,252.15324,34,/,0,0,,47,258.31262,28
2009/01/05,0,0,,47,255.25302,28,/,0,0,,47,255.22539,29
2009/01/06,0,0,,47,254.52971,28,/,0,0,,47,254.06044,47
2009/01/07,0,0,,47,250.61334,47,/,0,0,,47,253.4541,47
2009/01/08,0,0,,47,248.81432,42,/,0,0,,47,251.28871,42
2009/01/09,0,0,,47,250.41383,42,/,0,0,,47,254.46249,42
2009/01/10,0,0,,47,250.78198,42,/,0,0,,47,254.88846,42
2009/01/11,0,0,,47,251.99284,42,/,0,0,,47,253.10773,47
2009/01/12,0,0,,47,250.11638,42,/,0,0,,47,254.9229,42
2009/01/13,0,0,,47,251.6161,42,/,0,0,,47,256.48611,42
2009/01/14,0,0,,47,252.70985,42,/,0,0,,47,257.39709,47
2009/01/15,0,0,,47,255.16879,28,/,0,31,272.16,47,259.62082,24
2009/01/16,0,0,,47,254.57602,24,/,0,0,,47,259.8299,29
2009/01/17,0,0,,47,257.46637,29,/,0,0,,47,260.75446,30
2009/01/18,0,0,,47,257.75754,35,/,0,0,,47,262.02109,35
2009/01/19,0,0,,47,257.7955,42,/,0,0,,47,261.72946,42
2009/01/20,0,0,,47,257.88144,34,/,0,31,270.34,47,254.52237,41
2009/01/21,0,0,,47,253.61894,41,/,0,31,276.29,34,258.90646,28
2009/01/22,0,0,,47,255.88902,31,/,0,31,259.94,47,255.51288,28
2009/01/23,0,0,,47,249.76146,34,/,0,31,261.65,47,253.99933,41
2009/01/24,0,0,,47,251.78261,41,/,0,31,272.49,47,258.27875,32
2009/01/25,0,0,,47,255.57567,29,/,0,0,,47,254.4422,28
2009/01/26,0,0,,47,251.95746,28,/,0,0,,47,257.21201,28
2009/01/27,0,0,,47,254.09955,42,/,0,31,276.02,47,261.33325,42
2009/01/28,0,0,,47,257.68781,42,/,0,31,273.94,47,259.51788,42
2009/01/29,3,143,269.36,47,256.20178,42,/,3,177,276.97,47,262.07947,42
2009/01/30,0,0,,47,258.457,42,/,0,0,,47,262.62109,42
2009/01/31,0,0,,47,260.06897,42,/,0,0,,47,260.77155,42
2009/02/01,0,0,,47,259.00497,42,/,0,0,,47,259.02335,42
2009/02/02,0,0,,47,255.10008,42,/,0,31,275.05,47,258.74631,42
2009/02/03,0,31,269.21,47,255.43889,42,/,0,31,278.69,47,259.63135,42
2009/02/04,0,31,269.24,47,257.82559,42,/,0,31,275.93,47,263.3382,42
2009/02/05,0,0,,47,258.33026,35,/,0,31,283.35,47,264.84747,35
2009/02/06,0,31,273.65,47,261.03134,35,/,0,31,276.41,47,265.63846,35
2009/02/07,0,31,272.2,47,261.83905,35,/,0,31,274.01,47,263.81348,35
2009/02/08,0,31,270.65,47,259.57339,35,/,0,31,275.8,47,261.59433,35
2009/02/09,0,31,268.55,47,259.29846,35,/,0,31,277.67,47,261.70593,35
2009/02/10,0,31,270.64,47,258.83972,35,/,0,31,282.14,47,268.90369,35
2009/02/11,0,0,272.53,47,263.74112,35,/,0,31,284.09,47,269.3999,35
2009/02/12,0,31,274.92,47,263.89615,35,/,0,31,275.08,47,261.90698,42
2009/02/13,0,31,269.78,47,258.97852,42,/,0,31,275.64,47,264.55502,34
2009/02/14,0,31,268.81,47,258.93158,34,/,0,31,274.73,47,263.09131,35
2009/02/15,0,31,268.74,47,260.50854,35,/,0,31,276.28,47,261.16,35
2009/02/16,0,31,271.83,47,260.2001,42,/,0,31,276.35,47,263.21878,42
2009/02/17,0,31,271.34,47,260.52438,42,/,0,31,278.27,47,263.95242,42
2009/02/18,0,31,278.64,47,262.38077,42,/,0,31,267.33,47,259.74319,42
2009/02/19,0,31,270.16,47,255.47522,34,/,0,31,265.67,47,255.25764,42
2009/02/20,0,0,,47,254.24994,42,/,0,0,,47,263.75977,29
2009/02/21,0,31,277.28,47,260.70737,42,/,0,31,269.14,47,260.3602,41
2009/02/22,0,31,279.71,47,255.85352,28,/,0,31,271.58,47,257.20969,28
2009/02/23,0,31,279.44,47,255.79065,28,/,0,31,271.32,47,261.35138,24
2009/02/24,0,31,277.3,47,258.65436,24,/,0,31,270.02,47,261.03113,28
2009/02/25,0,31,270.81,47,258.72833,28,/,2,31,268.33,47,259.58667,29
2009/02/26,0,31,271.24,47,257.94107,42,/,0,31,268.44,47,258.69373,41
2009/02/27,0,31,273.69,47,256.16702,42,/,0,31,270.16,47,257.37048,42
2009/02/28,0,31,276.1,47,253.67557,42,/,3,31,270.17,47,256.62064,42
2009/03/01,0,31,272.58,47,255.76654,42,/,0,31,269.75,47,255.71849,28
2009/03/02,0,31,276.36,47,250.98764,47,/,0,31,270.68,47,255.35974,28
2009/03/03,0,31,278.24,47,254.27521,47,/,0,31,271.03,47,258.39267,41
2009/03/04,0,31,274.39,47,259.46533,29,/,0,31,267.87,47,258.67749,29
2009/03/05,0,31,274.34,47,257.78287,29,/,0,31,268.97,47,258.86942,29
2009/03/06,0,31,275.41,47,257.11243,42,/,0,31,270.65,47,259.01758,42
2009/03/07,0,31,279.51,47,256.94543,42,/,0,31,274.32,47,259.80002,42
2009/03/08,0,31,283.63,47,258.00043,29,/,0,31,274.31,47,261.15826,42
2009/03/09,0,31,283.45,47,259.88696,42,/,0,31,275.17,47,265.38132,35
2009/03/10,0,31,276.58,47,264.3342,35,/,0,31,274.25,47,264.73248,35
2009/03/11,0,31,272.03,47,263.45602,35,/,0,31,269.35,47,257.70996,35
2009/03/12,0,31,267.9,47,254.52214,42,/,0,31,265.89,47,250.84685,41
2009/03/13,0,31,276.2,47,249.03192,41,/,0,31,272.68,47,261.12521,29
2009/03/14,0,31,282.67,47,261.45923,29,/,0,31,275.59,47,264.40857,29
2009/03/15,0,31,284.05,47,260.46109,29,/,0,31,276.81,47,263.76218,29
2009/03/16,0,31,289.73,47,259.68283,29,/,0,31,280.71,47,266.61163,35
2009/03/17,0,31,290.69,47,262.27521,29,/,0,31,281.37,47,266.59909,35
2009/03/18,0,31,291.22,47,262.96341,42,/,0,31,279.53,47,265.86987,29
2009/03/19,0,31,292.37,47,262.65234,29,/,0,31,283.35,47,266.54697,42
2009/03/20,0,31,293.02,47,264.41763,42,/,0,31,277.37,47,267.2973,29
2009/03/21,0,31,282.55,47,263.70908,42,/,0,31,276.04,47,264.04031,42
2009/03/22,0,31,281.03,47,264.96713,42,/,2,31,272.98,47,261.21594,35
2009/03/23,0,31,288.16,47,259.1167,42,/,0,31,279.99,47,263.0134,42
2009/03/24,0,31,285.3,47,260.34564,42,/,0,31,274.68,47,264.67462,42
2009/03/25,0,31,289.66,47,262.35016,29,/,0,31,279.14,47,267.8692,42
2009/03/26,0,31,278.34,47,263.97455,32,/,3,31,272.55,47,264.46225,29
2009/03/27,2,31,276.26,47,261.79868,42,/,2,31,272.84,47,263.07584,42
2009/03/28,0,31,281.22,47,259.4809,42,/,0,31,274.12,47,261.64621,42
2009/03/29,0,31,284.81,47,259.52725,29,/,0,31,275.54,47,259.23987,29
2009/03/30,0,31,284.41,47,258.72058,42,/,0,31,278.39,47,261.51181,29
2009/03/31,0,31,282.87,47,259.54877,29,/,0,31,275.2,47,260.61276,29
2009/04/01,0,31,283.53,47,259.55063,29,/,0,31,276.03,47,262.50455,29
2009/04/02,0,31,288.35,47,259.73978,42,/,0,31,276.6,47,265.13757,29
2009/04/03,0,31,285.08,47,259.82596,29,/,0,31,278.3,47,263.45975,29
2009/04/04,0,31,282.81,47,252.15324,34,/,0,31,275.25,47,260.21536,29
2009/04/05,0,31,286.37,47,260.82172,29,/,0,31,278.21,47,263.33664,29
2009/04/06,0,31,289.62,47,259.73306,47,/,0,31,279.21,47,264.2067,46
2009/04/07,0,31,291.82,47,263.20502,29,/,0,31,277.96,47,270.81915,30
2009/04/08,0,31,285.76,47,268.32901,30,/,3,31,280.29,47,269.51974,30
2009/04/09,0,31,289.51,47,266.22382,43,/,0,31,280.88,47,268.3476,43
2009/04/10,0,31,292.43,47,265.38843,43,/,0,31,284.59,47,268.46985,30
2009/04/11,0,31,292.57,47,265.91641,30,/,0,31,284.07,47,265.77734,30
2009/04/12,0,31,293.36,47,263.96231,30,/,0,31,284.17,47,266.45886,29
2009/04/13,0,31,296.11,47,264.54956,29,/,0,31,286.2,47,269.95779,30
2009/04/14,0,31,294.2,47,266.0719,30,/,0,31,287.32,47,269.73663,30
2009/04/15,3,31,293.64,47,265.53845,35,/,0,31,283.06,47,269.51071,43
2009/04/16,0,31,295.58,47,268.4267,36,/,0,31,285.37,47,272.07523,36
2009/04/17,0,31,297.46,47,269.09842,43,/,0,31,287.24,47,271.23593,43
2009/04/18,2,31,285.2,47,266.98419,43,/,0,31,280.19,47,264.86652,43
2009/04/19,0,31,290.38,47,263.32599,43,/,0,31,282.21,47,264.4054,43
2009/04/20,0,31,290.16,47,263.21655,42,/,0,31,280.67,47,266.23318,42
2009/04/21,0,31,291.99,47,263.08871,42,/,0,31,283.91,25,269.56619,25
2009/04/22,3,31,285.93,47,265.22324,43,/,0,31,281.65,47,267.9624,43
2009/04/23,0,31,284.19,47,266.06271,43,/,0,31,277.14,47,267.4241,43
2009/04/24,0,31,283.28,47,264.35822,43,/,0,31,278.34,47,267.44952,43
2009/04/25,0,0,287.53,47,265.23257,36,/,0,31,286.59,47,269.03259,36
2009/04/26,0,0,280.44,47,264.75558,36,/,2,31,287.72,47,268.89417,36
2009/04/27,0,31,282.12,47,267.58594,36,/,0,31,285.69,47,268.47906,43
2009/04/28,0,0,279.57,47,264.55188,43,/,0,31,290.57,47,270.85825,43
2009/04/29,0,0,,47,267.64832,30,/,0,0,,47,271.13129,30
2009/04/30,0,0,,47,268.53479,36,/,0,0,,47,265.95084,36
2009/05/01,0,0,,47,263.95853,36,/,0,31,284.51,47,263.93338,36
2009/05/02,0,0,,47,262.06406,43,/,0,31,284.25,47,266.18851,43
2009/05/03,0,31,280.13,47,265.65173,43,/,0,31,293.29,47,272.38007,36
2009/05/04,0,31,283.7,47,269.72858,36,/,0,31,291.25,47,272.50031,37
2009/05/05,0,0,,47,269.05508,43,/,0,31,293.74,47,274.23004,44
2009/05/06,0,31,285.81,47,269.43512,44,/,0,31,290.65,47,275.62741,44
2009/05/07,0,31,286.04,47,271.58588,36,/,0,31,290.25,47,275.91559,44
2009/05/08,0,31,287.42,47,271.77243,36,/,0,31,290.97,47,273.3743,36
2009/05/09,2,31,287.79,47,268.0755,36,/,0,31,287.07,47,268.90817,36
2009/05/10,0,31,284.33,47,267.6554,36,/,0,31,291.89,47,270.60019,36
2009/05/11,3,31,277.84,47,266.80533,43,/,0,31,283.79,47,267.80338,43
2009/05/12,0,31,282.85,47,267.83487,36,/,0,31,283.66,47,268.75781,36
2009/05/13,0,31,282.82,47,268.8793,36,/,2,31,283.28,47,269.06879,36
2009/05/14,2,31,279.86,47,267.49112,36,/,2,31,283.03,47,267.15527,43
2009/05/15,0,31,281.51,47,265.21085,43,/,0,31,285.45,47,266.37457,43
2009/05/16,0,31,283.68,47,264.41409,43,/,0,31,286.45,47,267.66232,43
2009/05/17,0,31,282.65,47,265.31122,30,/,0,31,280.84,47,263.51614,43
2009/05/18,0,31,279.01,47,263.71796,43,/,0,31,290.6,47,268.76642,43
2009/05/19,0,0,283.97,47,263.44406,46,/,0,31,290.94,47,268.6676,43
2009/05/20,0,31,285.69,47,268.26523,43,/,0,31,295.71,47,274.84479,43
2009/05/21,0,31,284.65,47,271.51642,43,/,2,31,283.09,47,268.23056,36
2009/05/22,0,31,282.37,47,265.94986,36,/,0,31,290.12,47,270.69131,44
2009/05/23,0,31,284.69,47,268.70096,36,/,2,31,289.78,47,271.25302,36
2009/05/24,0,31,285.12,47,269.52771,36,/,0,31,293.07,47,271.06073,36
2009/05/25,0,0,286.68,47,270.1947,36,/,0,31,293.09,47,276.80164,36
2009/05/26,0,31,286.85,47,273.19562,37,/,2,31,285.95,47,277.72675,37
2009/05/27,3,31,282.06,47,275.17206,37,/,2,31,286.44,47,273.54233,37
2009/05/28,0,0,282.82,47,265.78271,37,/,0,31,288.09,47,268.70609,37
2009/05/29,0,31,284.33,47,266.77621,37,/,0,31,286.91,47,267.04242,36
2009/05/30,0,31,284.21,47,265.13699,36,/,0,31,292.2,47,267.82913,36
2009/05/31,0,31,286.76,47,266.20251,43,/,0,31,292.48,47,270.22815,36
2009/06/01,0,0,286.61,47,267.28107,36,/,0,31,293.8,47,267.47394,43
2009/06/02,0,0,,47,265.61343,43,/,2,0,,47,270.23566,43
2009/06/03,0,0,289.64,47,267.60712,43,/,0,31,296.83,47,272.36163,44
2009/06/04,0,31,289.18,47,268.33969,43,/,0,31,297.15,47,269.79321,44
2009/06/05,0,31,290.86,47,268.11346,43,/,3,31,286.0,47,271.09583,36
2009/06/06,0,31,284.59,47,269.38635,43,/,0,31,295.49,47,272.43658,36
2009/06/07,0,31,287.91,47,270.71292,43,/,0,31,289.39,47,271.69662,36
2009/06/08,0,0,287.64,47,269.71387,44,/,0,31,294.14,47,271.37842,44
2009/06/09,2,0,,47,271.33981,44,/,0,31,292.76,47,271.22241,37
2009/06/10,2,0,,47,270.72455,37,/,2,31,292.94,47,271.50699,44
2009/06/11,2,0,,47,269.98825,44,/,0,0,,47,270.71042,44
2009/06/12,0,0,,47,267.29785,44,/,0,0,,47,273.10495,44
2009/06/13,0,0,,47,269.60406,44,/,0,31,297.03,47,272.47198,44
2009/06/14,0,31,290.91,47,270.68069,36,/,0,31,297.14,47,275.28116,37
2009/06/15,0,0,289.72,47,271.5213,37,/,3,31,291.07,47,272.84491,37
2009/06/16,0,31,287.88,47,272.78391,37,/,0,0,,47,276.20911,37
2009/06/17,0,0,,47,274.55731,37,/,0,31,296.47,47,280.95624,37
2009/06/18,3,31,290.7,47,276.87311,37,/,3,31,295.28,47,279.30029,37
2009/06/19,0,0,285.35,47,272.61719,37,/,0,31,290.13,47,274.94653,37
2009/06/20,2,31,285.81,47,274.18631,37,/,0,31,293.38,47,276.0105,37
2009/06/21,0,31,289.88,47,274.75961,37,/,2,31,291.38,47,273.38141,37
2009/06/22,0,31,287.14,47,272.35507,37,/,2,31,296.86,47,275.37762,37
2009/06/23,0,0,291.09,47,272.39374,37,/,0,31,298.96,47,265.50583,42
2009/06/24,0,0,,47,273.76755,37,/,0,0,,47,276.07892,37
2009/06/25,0,0,292.81,47,274.3161,37,/,2,31,297.93,47,276.44882,37
2009/06/26,0,31,293.26,47,274.12747,37,/,3,31,297.05,47,276.88541,37
2009/06/27,3,31,291.82,47,274.32333,37,/,0,31,291.84,47,274.69989,37
2009/06/28,0,31,287.36,47,273.48135,37,/,0,31,295.5,47,275.51358,44
2009/06/29,2,31,291.72,47,271.7793,44,/,0,31,293.46,47,272.60812,44
2009/06/30,0,31,289.19,47,272.07855,44,/,0,31,297.6,47,275.23895,37
2009/07/01,0,31,292.02,47,273.57581,37,/,2,31,295.89,47,273.63821,37
2009/07/02,0,31,290.49,47,273.97885,37,/,0,31,293.64,47,275.32901,37
2009/07/03,2,31,289.36,47,274.37088,37,/,2,31,294.36,47,275.61868,37
